pslist.nproc,pslist.nppid,pslist.avg_threads,dlllist.ndlls,dlllist.avg_dlls_per_proc,handles.nhandles,handles.avg_handles_per_proc,ldrmodules.not_in_load,ldrmodules.not_in_init,ldrmodules.not_in_mem,malfind.ninjections,malfind.commitCharge,psxview.not_in_pslist,callbacks.ncallbacks,Class
93,36,17.55993840385618,2144,53.00731559004968,27804,433.8610978001087,6,5,0,1,37,1,80,Malware
32,27,31.43864022504908,4534,30.64664492413449,20151,209.97548985916498,2,5,4,5,37,0,63,Malware
80,17,21.815948164864892,1517,40.604378451173766,23753,298.36133323838874,7,6,4,0,47,2,99,Benign
36,37,16.38772741264203,4095,42.097578545215235,23703,252.42581543535672,8,0,2,0,13,1,78,Benign
50,19,6.446067261375104,1705,47.46290576729644,24623,328.24084535588565,6,3,0,2,43,1,76,Malware
68,35,25.16820551605165,4751,36.03450437720255,12956,418.3959980560702,0,9,4,1,22,0,73,Benign
47,19,34.596402959203516,3424,35.5168022720843,10555,495.72791738987803,0,9,4,0,49,2,81,Benign
33,14,32.35389196275149,4571,41.565188866410544,6892,222.42365826156063,2,8,2,3,44,0,60,Malware
89,19,26.51888232720284,2934,45.152419783493876,11407,321.52176494541345,8,9,0,0,23,1,29,Benign
43,27,8.158785747678351,3484,27.334518851462587,15489,286.40301950999896,13,1,1,5,34,2,41,Malware
38,30,12.183202802011825,3900,26.518523663440753,18773,499.5712637252483,7,7,0,1,19,1,26,Malware
82,33,10.60547058359861,2745,23.48592020479546,20213,423.5654521997796,2,6,3,5,21,0,47,Benign
31,15,15.66384920766936,2668,37.44232776563743,19774,258.83354343207714,9,6,4,0,46,0,97,Benign
89,12,12.065516833746065,4928,28.00778447778862,25222,290.7516222430586,11,2,3,2,8,1,66,Malware
73,17,12.333183379150796,4875,37.01566338538159,28893,198.38263777063733,9,1,3,1,9,1,34,Benign
37,39,23.50189806126217,1969,30.29923829134608,6489,402.0989278995306,12,1,1,13,25,2,63,Malware
76,18,14.561079678841505,3546,51.83670912763304,9009,438.08471455137686,8,2,4,5,49,0,49,Malware
64,14,25.314886294174194,2197,13.656511987273037,20982,485.9947294491681,4,2,0,0,12,2,84,Benign
65,38,33.436689774385414,2686,38.61052968023373,6821,326.3315587271188,0,9,2,5,18,1,99,Benign
79,11,24.154337498397172,3647,38.78118752935988,17552,368.2732008949758,5,1,4,0,37,2,18,Benign
33,11,27.549700316311135,4884,29.185865526934993,22656,278.4235326677838,7,6,3,7,27,0,13,Malware
31,16,27.547412458485137,2532,31.05104472815716,15078,343.6514041350575,8,1,3,0,19,1,33,Benign
35,26,14.92108365197933,1777,50.00656804414643,16058,239.49961209605232,10,5,4,1,38,2,21,Malware
83,19,5.448739837803065,2333,24.033685513016742,13888,395.0756466082557,3,4,1,7,5,2,50,Malware
33,21,6.651438889826434,3117,53.57018957130814,26220,109.08014630175096,5,6,0,6,31,2,16,Malware
83,11,13.461807526536752,3252,54.817165206734664,15556,111.38273987679344,6,6,2,7,47,1,57,Malware
92,19,25.68629550972794,3388,42.5309652201098,25598,386.4483560746392,3,7,1,3,11,2,32,Malware
47,29,32.20049415944878,4103,48.64288568540492,23153,472.2731212500664,8,3,0,6,10,1,89,Malware
73,10,33.763947865722386,4114,40.647376417724416,24225,352.8995737745786,8,9,4,1,12,0,13,Benign
63,13,5.7754599152022035,1117,36.26295568732958,15441,390.6113196014787,13,4,1,1,7,0,69,Malware
91,22,34.702617368983134,3936,58.33388771251148,29325,429.57371648726706,10,9,2,2,39,2,75,Malware
43,21,14.674916550700813,1014,24.132748211373208,16316,244.66970578543177,8,3,0,3,48,0,63,Malware
77,20,30.28868684705346,2345,17.707547332155606,7364,143.24546302376336,9,6,4,5,34,1,54,Malware
44,38,10.408863820903411,3041,24.374268157125762,10363,473.2369149000385,8,2,0,1,28,2,65,Benign
91,19,6.886947728205776,3042,40.73128041897226,21300,475.42822600097605,9,9,2,1,16,2,24,Malware
69,24,16.350662721880624,1910,19.259171905057183,6117,276.7362222288316,3,1,4,0,21,1,55,Benign
82,14,30.76776165592079,3674,55.440702161315706,12447,186.8678627978455,7,3,3,4,28,1,28,Malware
53,34,11.62474747633448,4408,30.551220033269637,22196,456.9417531079956,2,4,3,2,44,0,68,Benign
55,26,9.618719772555266,2555,52.49814391459218,5037,383.3706788341013,8,0,1,0,18,2,36,Benign
89,37,32.29412986850571,1689,22.461827226440835,7460,103.29134021878473,11,2,4,5,38,1,97,Malware
70,14,33.15011607864377,1773,25.658417754137375,25722,143.087880583633,9,7,4,3,37,2,64,Malware
58,11,5.376445975667268,2614,12.961169858624828,26867,493.2798571086978,7,4,1,1,26,0,64,Benign
44,18,26.82307212246445,4452,22.888384609278695,19286,115.25127152325787,1,0,0,3,49,0,95,Benign
74,15,14.276232095879799,2534,34.51569094816507,25103,213.02200414544882,3,3,1,0,44,2,67,Benign
94,27,16.24113109901569,3960,57.306845886162115,28615,319.39853788245455,2,7,4,5,40,1,60,Malware
38,23,19.073089248544697,1119,29.44514869457491,14046,173.7422464822182,2,7,3,0,32,2,38,Benign
30,28,17.803729105235583,3073,41.9871939741673,17138,192.8216345451836,3,1,0,6,39,0,65,Malware
37,23,20.449213549463156,4605,31.3855058734394,15440,241.18699462480086,12,8,4,2,42,0,47,Malware
92,17,22.470851472200486,2736,12.339592538397062,7354,207.82170732918144,12,9,2,5,10,2,72,Malware
40,26,18.96786514513773,1063,35.17663129483513,9042,421.3424911680029,5,0,3,0,1,2,71,Benign
37,37,26.046906214685524,1459,13.295682335196043,21558,300.1097893570419,6,9,3,0,28,0,70,Benign
64,12,26.55804988526426,2749,54.1849962298768,16255,211.44805903104418,6,7,1,2,49,1,60,Malware
64,38,18.210775922785853,3361,47.651848097545695,20329,225.23841339787936,9,7,4,8,1,0,95,Benign
62,19,9.273894442613258,3852,28.93257356261831,28124,115.94598383521256,0,5,4,0,36,0,48,Benign
34,26,24.21916763960368,2613,42.010933309564486,22055,119.75683047235023,7,0,1,3,23,1,93,Malware
70,36,28.18870137052127,4287,15.601407765666604,5693,387.16302654355366,4,8,4,4,14,2,90,Malware
57,20,24.14328563611849,4527,45.12774934813254,13739,145.16433482844562,7,9,4,0,41,1,96,Benign
36,17,22.64164297540447,4033,51.13662044957348,10976,290.3187098727127,4,2,3,0,8,0,93,Benign
41,10,11.88235973703819,3783,51.08728242691173,6122,436.9462571423187,4,0,0,4,36,1,63,Malware
63,22,24.35411122457775,3936,24.213877384532793,24681,247.38140229088046,0,6,2,0,47,2,45,Benign
62,30,15.045686437286358,2563,23.187309763841334,25370,238.30089080428237,0,9,2,0,7,1,28,Benign
77,13,32.58676588439855,1981,36.069884395133926,23980,449.21931031478874,7,4,0,1,10,1,77,Malware
52,16,24.611602782799423,4888,58.38860809649242,9368,445.94015865986904,11,1,2,4,29,2,32,Malware
91,23,13.34539030124908,4784,56.02614888030426,8023,452.0547205841135,8,0,0,1,17,0,84,Benign
66,14,19.1878072809179,3626,27.98192408779909,13975,328.76558405270356,9,5,4,1,21,0,70,Benign
73,33,30.39743827655133,4544,48.99147530915221,14131,480.92170942930414,9,0,1,0,12,1,10,Benign
64,37,15.063918535479425,4430,56.06588820457287,19896,427.5855791269509,3,5,4,5,27,1,12,Malware
94,39,20.76321710457143,2149,23.046323285880252,22912,266.2537707809475,8,0,1,2,1,1,57,Malware
76,20,25.390099197545677,1971,51.51478248014699,21477,351.82205677601536,3,6,0,0,13,2,92,Benign
32,26,27.63588016480225,3908,23.394781345458828,14522,148.71563310332388,2,6,4,1,29,1,80,Benign
30,14,10.216765251942345,1706,27.164106294360533,14953,320.53287438034056,7,9,0,0,40,0,56,Benign
34,29,21.95456914031867,2709,19.941034542537707,11660,205.25963342170746,4,3,3,4,9,2,26,Malware
43,12,32.36599701488604,4158,35.353989953635676,19176,213.41889060454756,1,6,0,1,46,0,19,Benign
56,14,34.05079344529082,2366,52.16554471306206,26433,150.28729317116995,6,7,4,4,5,2,71,Malware
38,35,24.684351276780745,2846,36.40260687177562,23605,243.27968942957062,9,7,1,3,36,2,45,Benign
44,24,34.50982412479957,1394,16.172000484654877,24126,292.55613211966306,10,2,3,6,36,1,47,Malware
71,28,22.122057469284226,1483,22.5887966113585,6096,340.14177647474526,9,7,4,1,37,1,50,Benign
80,25,18.278150893428,1665,38.14309336406694,29575,221.94773450772382,0,2,4,0,14,1,52,Benign
92,17,21.547623768447377,1455,39.15937277852801,26387,416.89929372403657,9,4,4,1,24,1,80,Malware
81,22,8.471371827905664,4547,38.845295177243486,18975,308.38398464148725,11,0,3,6,18,1,82,Malware
33,25,17.051477590561632,1209,13.850174625310798,23487,355.2208435822923,1,6,4,0,13,0,71,Benign
52,12,18.75215159091586,1524,47.68479463173771,24126,211.25744359141314,12,9,1,2,33,0,66,Malware
44,10,30.458833961629345,1675,55.47140994945033,9729,425.65435160490586,0,7,4,0,12,1,31,Benign
72,18,27.759457782273415,2001,35.52594738649499,20229,349.7097802263749,11,3,2,3,21,0,46,Malware
58,18,23.042797556744024,4838,45.94146433859314,9299,444.9394997796628,2,6,0,3,40,1,39,Malware
65,31,15.418317046288099,1895,55.70077460182756,25046,163.9806315753178,8,6,2,8,31,0,42,Benign
42,35,10.611037570779711,2003,42.13113774740079,13207,252.26530677239944,7,5,1,0,32,0,31,Benign
61,26,15.432950627438837,2599,43.71628622155256,21509,145.20647362290387,7,4,1,3,47,2,51,Malware
88,33,25.394122128773954,3354,46.07022066919773,20125,186.210924361757,0,9,0,0,41,1,25,Benign
57,11,12.891133972550993,4147,23.025122572703257,27381,257.819001793948,7,3,1,5,34,2,65,Malware
95,18,17.806600871274977,4093,39.13389373584137,20787,457.83276306374967,6,4,1,0,13,1,76,Benign
71,39,16.60310704645046,1059,52.108755727222814,16614,322.8162676287616,5,6,4,3,29,0,55,Benign
74,33,27.967701913731805,1385,24.80813651303753,27058,232.1513322857033,0,7,0,5,30,0,83,Benign
91,28,31.513611867804332,3103,54.85852497984301,9174,398.75966515183694,9,3,2,7,30,1,26,Malware
86,22,25.981128704329308,3215,41.0190974882816,16764,107.87308247772059,1,4,4,0,9,0,84,Benign
35,14,15.248067827991024,2435,31.158742571652812,26882,248.03688449706715,7,5,4,1,6,1,26,Benign
57,18,17.99531146927662,3764,41.15914807001465,11407,340.33267863735136,3,8,2,1,47,2,96,Malware
57,22,9.300504621611642,3912,30.092995284453817,7352,333.2949215448808,3,9,1,2,4,2,15,Benign
73,10,10.042923432998295,2794,51.90178009240873,14703,343.0231529769977,6,5,3,6,43,1,58,Malware
59,34,9.92877702579545,4262,34.115929003379854,11883,184.60030592578642,10,6,3,3,15,2,26,Malware
91,24,8.917590726839306,3529,55.06066798771683,9220,234.83166119739153,2,7,1,0,11,1,73,Benign
91,13,10.387436855273904,2942,35.49040404239132,26221,472.6261808458507,5,2,4,0,31,1,86,Benign
30,13,11.080646077350728,2590,43.01841948186936,29656,489.59021251467897,7,4,2,6,28,2,28,Malware
56,29,8.355378313928988,4487,59.887221050342525,28399,224.8153405327579,0,3,3,0,38,0,72,Benign
91,19,24.20782165652681,3387,17.34829205042706,14836,357.8014813635017,9,0,4,6,48,2,27,Malware
32,37,34.71204603746599,1795,46.83645743667029,5174,196.51871165476234,0,3,3,0,36,2,42,Benign
99,34,31.375602339567685,1891,16.94361139579668,20484,247.4114667894858,8,1,2,5,10,1,11,Benign
56,39,6.368081714782586,3823,51.943318288219814,13539,416.9338787263855,3,3,4,0,30,1,72,Benign
38,15,17.691764275901743,2282,39.82266905810058,15104,300.47149200256627,5,1,0,6,42,1,98,Malware
91,36,30.77931737698317,4421,56.90797803032296,22942,439.8359839366159,0,3,4,0,15,2,32,Benign
66,33,9.040244539759893,1600,53.29783009724342,22822,351.4960982636228,2,3,0,5,1,1,84,Malware
80,21,30.42935439956128,3484,13.743601873441172,7925,351.5684740584594,8,2,1,0,12,0,14,Benign
73,39,22.78101913513698,2245,16.865127083943044,11986,113.55201125913004,9,4,2,7,30,2,25,Malware
53,29,32.93895657788336,2436,40.05854643034126,9819,399.8681436967638,10,8,3,5,5,0,20,Malware
88,25,31.281173427932753,2373,35.91573199710374,10371,491.1466111801988,9,0,1,3,25,2,77,Benign
61,12,25.311029661761523,4553,18.42825653067223,9703,289.2114241013539,5,6,1,0,24,2,38,Benign
81,23,24.734679796180863,4672,16.46796141358249,16984,163.4320059836689,4,9,4,1,23,2,18,Benign
91,10,11.394926071757244,2082,38.199539172080655,28096,490.7910685522157,6,0,4,2,31,2,27,Malware
87,19,8.502589014740256,1151,12.446077398749974,27761,216.05034992714653,7,9,0,0,45,0,27,Benign
81,24,17.46180289906395,1933,53.68676514767195,21741,263.67918229486816,6,0,0,0,27,0,66,Benign
41,16,10.597401184793743,3587,50.35414599013102,24781,130.94656564061268,6,1,1,0,19,2,47,Benign
68,13,8.072501530332769,3272,49.26849858555447,14280,144.33474627696742,9,9,1,5,37,2,36,Malware
31,23,14.069801998186804,2341,10.799857352037053,5292,186.62626822376254,10,5,4,5,12,2,79,Malware
32,33,30.814698283899453,3610,12.382047170636898,10443,319.38642603608037,10,8,4,3,23,2,84,Malware
85,25,5.514444620550837,4846,37.49195605753643,14182,323.11568074576326,2,2,3,3,18,2,67,Malware
88,23,13.779130451665269,4350,59.721284444708886,16594,342.49752913715275,8,4,2,5,12,1,47,Malware
31,12,17.72156555643477,1557,27.115810048567585,7576,333.5267828030385,6,7,3,4,21,2,18,Malware
31,26,20.3170924884586,2497,27.218740820267197,11278,298.09479323336575,7,9,2,2,19,2,86,Benign
83,30,10.447325251489676,2869,16.713898343099167,5819,420.8394618408436,13,5,1,3,17,1,27,Malware
30,23,33.92660599514093,1617,43.71679018697507,16682,473.559878949549,7,2,4,0,39,0,91,Benign
48,27,22.366191307165685,2819,42.333834449700284,25609,207.90453331169175,7,1,3,1,9,1,74,Benign
31,12,20.66331641171132,1023,15.066120818957954,25004,152.07747292257397,4,2,2,0,6,0,96,Benign
82,39,5.2646776679102345,2542,33.37061435341756,29313,270.0349175623832,9,5,0,0,20,0,46,Benign
73,31,19.571461381880212,3415,43.35374544109872,11712,110.56895003759037,13,4,2,3,8,1,41,Malware
61,28,30.130118883655523,3019,34.675806816096355,19857,453.3275494846706,0,7,2,1,18,1,63,Benign
99,12,11.58933629153728,1998,43.71817909323778,26072,195.88250409852964,3,9,4,3,22,0,36,Benign
61,21,15.53622705159239,3382,50.813519871574485,20961,319.718651899318,6,1,3,0,18,0,27,Benign
97,31,5.617143940630866,2456,44.29077165608838,20236,146.03799595859027,1,1,1,8,21,0,57,Benign
84,14,34.30782542701385,1002,40.80571179152619,23308,321.3029356973137,6,3,3,5,20,1,65,Benign
85,19,6.999553913841225,2007,52.67951284722466,10751,115.59738116074575,8,8,1,2,1,2,89,Malware
46,18,31.94663371728708,2281,55.029428393489404,10614,407.5226782356234,7,4,0,2,30,0,47,Malware
67,10,14.38963142541364,1262,29.444321858790207,9634,482.1685850575659,5,6,4,1,22,1,62,Benign
53,22,22.626692059576357,1120,18.662494386194297,25740,222.79042597743816,4,6,2,2,9,0,98,Benign
98,12,25.3794661989801,2743,50.89302020040253,25028,203.28584418171704,9,5,3,5,29,2,68,Benign
99,28,9.224875022933436,1020,20.68765536497416,8207,279.1979886347361,6,5,3,2,18,2,72,Benign
40,20,18.312781333410065,1904,56.44753348745429,21286,347.9894641001503,5,8,1,1,40,0,57,Malware
45,25,14.76398300739927,1139,11.143897261095173,7656,175.5849847967232,3,3,3,3,28,1,10,Malware
88,15,6.6980739681639605,4548,56.063559130965174,22634,421.323198905151,12,1,2,4,9,1,52,Malware
99,33,29.99580963179542,2815,39.459149630603136,15004,179.41392534016433,7,6,1,5,6,0,10,Malware
32,12,6.355032694924332,2312,48.73710582564407,19158,102.1896879934832,8,5,2,0,22,0,19,Benign
49,28,24.597738784516004,1205,29.924629353220226,21611,309.7002334342298,8,3,1,2,38,2,15,Benign
88,15,14.42232129259541,1042,59.585814595444006,8898,146.0598844663647,6,0,2,0,2,2,33,Benign
65,17,10.763879816055997,3897,21.37757137831452,20096,379.29549015482564,1,3,1,0,37,1,79,Benign
48,31,25.01258154006636,4189,23.21718313190874,24257,166.98799834740208,2,5,4,3,7,2,18,Malware
96,22,22.236131435786174,2028,12.571622201873646,16483,426.95215820801417,3,2,3,0,32,0,42,Benign
48,21,14.457687721244897,3254,57.02366815307191,10139,288.1472531503992,8,0,2,8,32,0,24,Benign
49,39,20.388822447777176,3682,32.80146517993381,11567,326.511161846665,6,1,0,8,24,1,47,Benign
81,19,12.387113036186284,2862,43.74262073596746,11556,174.6340661210847,8,5,4,1,47,1,17,Benign
62,12,30.910893770080765,1344,44.37203637314204,8460,158.67523101218515,5,0,4,5,8,1,99,Malware
69,13,14.414563409814848,2165,53.72510461413388,7514,352.5169866080848,8,5,2,0,31,0,80,Benign
68,10,12.354590886545942,3419,43.246262532320465,9284,202.18424613667406,8,0,2,4,37,1,19,Malware
30,22,27.555011331789533,4303,38.10105911520936,10504,254.37022732710312,10,0,0,12,20,1,27,Malware
40,33,5.527774639817446,4235,45.51592620955218,27446,291.7796615747944,0,5,2,0,8,2,35,Benign
86,13,13.04035196258226,3594,47.548539950156325,24553,191.85344223237587,9,0,0,10,7,2,13,Malware
79,31,16.261856619535195,2387,19.296397312424098,27797,418.1695242238814,9,8,2,1,29,1,50,Malware
52,20,31.467138853741453,1983,15.483351948837651,22048,475.7697635635622,2,1,0,6,34,0,81,Malware
60,28,33.51325407645032,1334,13.742442524278156,26721,272.75726482409107,7,8,1,2,22,0,98,Benign
71,20,26.494339007418496,3058,28.702674726126833,20049,467.0193537955055,5,4,3,4,6,0,91,Malware
36,21,19.775953430289793,4479,34.90001199188726,22567,453.0731269369434,6,4,3,1,12,1,14,Malware
45,20,24.218646471730658,3122,40.78249491449304,18803,166.41889148805032,7,9,2,2,42,1,13,Benign
89,15,17.420031550439994,2323,57.90172598448051,19911,169.3527783291653,5,7,2,2,46,1,17,Malware
31,21,13.964774955460035,3994,26.539391010350315,11739,290.96202458815344,9,0,3,4,28,2,11,Malware
30,36,33.520642044188854,3960,48.04370260386372,7632,310.34287169278144,6,8,3,1,26,1,12,Malware
77,18,8.461706870297714,4452,36.567880979744245,20931,236.45189026095662,7,0,0,0,9,2,39,Benign
41,34,15.39180704150327,3757,21.004496604345842,8065,225.1683919354469,4,4,0,2,49,1,16,Malware
98,19,31.972668798817793,3900,40.76527145643796,6889,272.54691592061823,9,7,1,0,27,1,53,Benign
66,12,26.694242917622507,1775,58.35880891448518,18278,376.19171255968035,5,0,1,1,39,0,33,Benign
61,12,5.873043539689298,4918,16.21541496256362,19994,133.75745320475244,8,4,0,5,28,2,16,Malware
38,29,5.6929902027274135,1885,35.36398822746145,17510,384.23280140493614,5,2,1,1,32,2,10,Malware
48,37,20.49537387873724,3035,12.580417707526411,22343,470.49610465285394,4,7,4,2,34,1,39,Benign
77,32,19.52759168690065,1735,26.060814944818112,29733,405.4026835364118,6,2,0,0,32,2,73,Benign
32,25,18.28974615968955,3681,41.03013387969956,20406,176.67074253846363,4,7,1,4,10,2,67,Malware
49,12,14.070312855170267,4657,52.05284680153773,7007,134.99247551085676,8,1,1,4,35,1,70,Malware
53,19,34.59916159440917,2051,46.51642108630355,5721,296.1521635958156,4,9,2,10,18,1,79,Malware
83,33,13.159619689501444,2486,33.14283891077369,12700,482.5624356715948,6,2,2,0,37,1,74,Benign
62,20,19.701206193216855,1395,55.461137855207326,28902,427.6237149555283,11,0,2,5,24,0,99,Malware
53,17,17.14679290469199,1682,25.135733251188533,19654,325.09345560519716,1,0,3,1,24,0,40,Benign
65,15,10.107482778852262,3001,47.699170511258316,6254,157.19256936703712,9,3,3,1,30,0,71,Benign
67,29,11.078564573758356,4447,33.70045108738312,7345,385.5347128446382,11,4,3,4,27,2,49,Malware
54,20,32.54908226029319,3468,54.931787733638785,25924,425.1992954430259,6,2,0,1,30,1,75,Benign
47,37,30.748391685678655,1363,49.87164108268801,5104,474.0276545703373,0,1,2,0,4,1,20,Benign
95,36,10.97132917461057,4966,55.07348306535476,6661,344.8464936639661,4,0,2,0,27,0,61,Benign
83,30,31.26987871728541,4287,20.712392447103667,18170,305.7863258581634,6,2,0,3,45,0,70,Benign
64,21,11.275583902425275,2854,43.407521605810395,10418,347.67281742707166,7,0,3,3,3,1,71,Malware
90,25,23.796389652430914,4172,46.923170404082,22475,477.30100186341787,5,9,1,1,6,1,47,Malware
70,27,7.438415699620814,2781,47.120713264129684,13729,351.25083446931365,9,9,4,2,7,1,96,Malware
62,22,31.411088787773547,1092,35.200022523366876,27123,203.03673975748305,9,5,2,0,21,0,62,Benign
97,31,6.545008983964009,2598,10.562526117397628,11960,354.46056317693854,9,2,3,0,7,1,89,Benign
62,12,21.6482866775341,1265,23.071539193453745,20955,451.8978291206219,7,3,1,8,2,0,66,Malware
43,24,28.39134575541155,3253,26.165043750219056,6571,326.80081143840675,12,7,2,2,9,2,45,Malware
50,31,8.505042092320437,4151,52.60183086408807,8015,301.079531203883,3,9,2,1,3,1,96,Malware
77,37,17.134408025005655,3084,52.04429085521102,12006,393.3476998010059,9,4,4,1,48,0,63,Benign
49,30,6.258504544701503,2034,15.234005201889165,24830,364.3954780579249,9,4,3,2,15,1,42,Benign
37,23,25.482577320198775,4698,57.49179408856288,22813,122.67503958147557,8,7,0,0,49,0,95,Benign
36,27,14.223487848840557,2113,19.122874332574547,20593,390.1244563589723,6,9,1,11,35,0,48,Malware
96,37,21.7818573391541,1743,30.717972565046054,18819,263.0197720344338,2,9,1,5,21,1,89,Malware
46,38,32.98196811261085,3066,20.75784830553777,21625,476.3593120122948,2,9,3,7,17,0,13,Malware
62,23,14.175743239845271,4635,53.01662344146787,12086,488.3211953674166,8,3,1,1,6,2,55,Benign
77,14,6.458824149058331,1373,47.47010159296559,23451,279.49552724982004,9,7,0,1,15,0,88,Malware
88,30,25.268833030961012,2809,27.676440344390198,29215,487.5179386631691,6,9,1,0,12,2,26,Benign
51,23,28.605234035425024,1093,44.093931301302774,12338,224.32820598239852,5,4,3,5,33,0,40,Malware
59,34,33.736056796327276,1031,19.218344208577115,20575,373.0577685807911,4,5,0,4,10,0,48,Malware
67,36,9.734026310769973,4734,29.11485461880008,16080,130.02188444376705,4,0,4,5,6,0,31,Malware
80,17,16.764197753484495,1139,28.85537941690541,11887,157.99573940617887,2,8,3,1,42,1,95,Benign
83,37,30.324213800764245,2593,21.89683408606989,10135,445.8103609511274,2,3,4,8,33,1,73,Benign
37,37,29.206141798066383,4020,53.815602479144125,28834,457.5136157187854,11,0,1,6,13,2,76,Malware
56,32,23.743871220015873,4092,43.94228677395631,5300,313.0444767878979,5,6,0,5,2,2,27,Malware
56,24,13.081056356080818,4220,23.996965528189964,17452,235.90937077876612,0,9,1,1,18,0,62,Benign
50,37,13.521058719523328,4292,22.106038031451867,7828,280.4095727055802,1,3,3,2,17,1,69,Benign
59,38,8.720089838724277,3780,10.897673549961953,16954,447.8497956578624,8,4,4,0,34,1,99,Benign
57,24,32.65561021357729,3801,27.32911268961773,10377,184.39736904836718,4,6,4,1,8,2,97,Malware
93,39,10.187945439183359,2242,36.33856416576591,10707,217.94809252063857,8,6,1,0,29,2,99,Benign
98,28,22.186598035397193,2564,23.885547095418822,7400,414.17717370110705,4,8,3,1,6,1,45,Benign
90,35,22.530542509463388,2582,45.0229138214885,24542,474.1077783665663,4,8,1,2,15,1,94,Malware
77,29,16.088163235858065,2931,30.587476450563315,29378,137.1709360062017,3,6,2,0,31,0,57,Benign
48,15,15.575553830163654,1057,25.81589185053339,22404,421.50892054091827,5,9,3,3,45,0,80,Malware
33,28,25.05765255674839,4496,56.95288293951656,6549,358.02732277272975,1,8,3,0,30,2,78,Benign
64,36,16.64893333845617,2298,23.140043864406955,16110,192.30861778561956,11,4,0,3,20,1,40,Malware
93,34,12.653461800140022,3187,29.912881004832816,19256,402.3268786659072,6,1,2,4,26,0,88,Malware
78,17,16.97395107200093,2046,29.114539426038597,12965,391.16642599973113,10,8,4,3,20,2,11,Malware
46,15,29.22986232996638,3948,22.059917283562417,11902,156.81192461976457,2,5,1,8,24,2,27,Malware
73,29,33.99435365393557,1377,20.873836990520836,22261,300.90042296455545,3,5,4,2,40,1,65,Malware
59,32,24.078506913615342,1921,25.11900094067018,20088,403.3164331402663,9,8,3,5,48,0,19,Malware
75,38,28.463036764523192,1372,53.211808496559044,12009,176.617650723125,9,0,1,8,16,0,55,Malware
